filename,species,split
Asian Koel_test_XC161198 1.mp3,Asian Koel,test
Asian Koel_test_XC162828 0.mp3,Asian Koel,test
Asian Koel_test_XC179229 8.mp3,Asian Koel,test
Asian Koel_test_XC182810 0.mp3,Asian Koel,test
Asian Koel_test_XC196583 0.mp3,Asian Koel,test
Asian Koel_test_XC196584 1.mp3,Asian Koel,test
Asian Koel_test_XC236515 1.mp3,Asian Koel,test
Asian Koel_test_XC311271 0.mp3,Asian Koel,test
Asian Koel_test_XC314339 1.mp3,Asian Koel,test
Asian Koel_test_XC327430 1.mp3,Asian Koel,test
Asian Koel_test_XC327430 2.mp3,Asian Koel,test
Asian Koel_test_XC332698 1.mp3,Asian Koel,test
Asian Koel_test_XC359129 0.mp3,Asian Koel,test
Asian Koel_test_XC365421 0.mp3,Asian Koel,test
Asian Koel_test_XC369205 0.mp3,Asian Koel,test
Asian Koel_test_XC369205 2.mp3,Asian Koel,test
Asian Koel_test_XC412822 1.mp3,Asian Koel,test
Asian Koel_test_XC416848 original.mp3,Asian Koel,test
Asian Koel_test_XC426536 7.mp3,Asian Koel,test
Asian Koel_test_XC446387 10.mp3,Asian Koel,test
Asian Koel_test_XC454504 0.mp3,Asian Koel,test
Asian Koel_test_XC461162 0.mp3,Asian Koel,test
Asian Koel_test_XC461634 original.mp3,Asian Koel,test
Asian Koel_test_XC531612 1.mp3,Asian Koel,test
Asian Koel_test_XC576721 8.mp3,Asian Koel,test
Asian Koel_test_XC578005 original.mp3,Asian Koel,test
Asian Koel_test_XC591315 3.mp3,Asian Koel,test
Asian Koel_test_XC591315 5.mp3,Asian Koel,test
Asian Koel_test_XC594949 1.mp3,Asian Koel,test
Asian Koel_test_XC594949 23.mp3,Asian Koel,test
Asian Koel_test_XC594949 4.mp3,Asian Koel,test
Asian Koel_test_XC594949 42.mp3,Asian Koel,test
Asian Koel_test_XC594949 43.mp3,Asian Koel,test
Asian Koel_test_XC594951 0.mp3,Asian Koel,test
Asian Koel_test_XC635320 0.mp3,Asian Koel,test
Asian Koel_test_XC717549 3.mp3,Asian Koel,test
Asian Koel_test_XC722516 0.mp3,Asian Koel,test
Black Kite_test_XC268754 0.mp3,Black Kite,test
Black Kite_test_XC309400 0.mp3,Black Kite,test
Black Kite_test_XC372290 0.mp3,Black Kite,test
Black Kite_test_XC406799 1.mp3,Black Kite,test
Black Kite_test_XC430830 0.mp3,Black Kite,test
Black Kite_test_XC430830 4.mp3,Black Kite,test
Black Kite_test_XC464419 2.mp3,Black Kite,test
Black Kite_test_XC477874 13.mp3,Black Kite,test
Black Kite_test_XC477874 19.mp3,Black Kite,test
Black Kite_test_XC477874 22.mp3,Black Kite,test
Black Kite_test_XC477874 23.mp3,Black Kite,test
Black Kite_test_XC477874 26.mp3,Black Kite,test
Black Kite_test_XC477874 29.mp3,Black Kite,test
Black Kite_test_XC478264 original.mp3,Black Kite,test
Black Kite_test_XC482564 10.mp3,Black Kite,test
Black Kite_test_XC482564 12.mp3,Black Kite,test
Black Kite_test_XC483222 1.mp3,Black Kite,test
Black Kite_test_XC483228 5.mp3,Black Kite,test
Black Kite_test_XC485739 0.mp3,Black Kite,test
Black Kite_test_XC489015 original.mp3,Black Kite,test
Black Kite_test_XC493737 0.mp3,Black Kite,test
Black Kite_test_XC493737 3.mp3,Black Kite,test
Black Kite_test_XC493737 7.mp3,Black Kite,test
Black Kite_test_XC495362 3.mp3,Black Kite,test
Black Kite_test_XC511559 8.mp3,Black Kite,test
Black Kite_test_XC539037 0.mp3,Black Kite,test
Black Kite_test_XC543161 original.mp3,Black Kite,test
Black Kite_test_XC543707 18.mp3,Black Kite,test
Black Kite_test_XC545928 1.mp3,Black Kite,test
Black Kite_test_XC566222 4.mp3,Black Kite,test
Black Kite_test_XC572731 2.mp3,Black Kite,test
Black Kite_test_XC572731 4.mp3,Black Kite,test
Black Kite_test_XC577174 original.mp3,Black Kite,test
Black Kite_test_XC636323 original.mp3,Black Kite,test
Black Kite_test_XC640160 0.mp3,Black Kite,test
Black Kite_test_XC686908 original.mp3,Black Kite,test
Black Kite_test_XC719785 3.mp3,Black Kite,test
Black-breasted Parrotbill_test_XC121336 3.mp3,Black-breasted Parrotbill,test
Black-breasted Parrotbill_test_XC19203 -1.mp3,Black-breasted Parrotbill,test
Black-breasted Parrotbill_test_XC21858 -0.mp3,Black-breasted Parrotbill,test
Black-breasted Parrotbill_test_XC79466 -0.mp3,Black-breasted Parrotbill,test
Black-necked crane_test_XC114683 9.mp3,Black-necked crane,test
Black-necked crane_test_XC37414 -6.mp3,Black-necked crane,test
Black-necked crane_test_XC491273 0.mp3,Black-necked crane,test
Black-necked crane_test_XC491273 5.mp3,Black-necked crane,test
Black-necked crane_test_XC491274 1.mp3,Black-necked crane,test
Black-necked crane_test_XC516131 3.mp3,Black-necked crane,test
Black-necked crane_test_XC516276 1.mp3,Black-necked crane,test
Black-necked crane_test_XC516278 8.mp3,Black-necked crane,test
Black-necked crane_test_XC516283 16.mp3,Black-necked crane,test
Black-necked crane_test_XC516283 22.mp3,Black-necked crane,test
Black-necked crane_test_XC81461 -7.mp3,Black-necked crane,test
Bristled Grassbird_test_XC255715 3.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC265238 3.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC304920 1.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC415699 0.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC582322 1.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC608596 3.mp3,Bristled Grassbird,test
Bristled Grassbird_test_XC646706 0.mp3,Bristled Grassbird,test
