filename,species,split
Asian Koel_train_XC161198 0.wav,Asian Koel,train
Asian Koel_train_XC161199 0.wav,Asian Koel,train
Asian Koel_train_XC161199 1.wav,Asian Koel,train
Asian Koel_train_XC161199 2.wav,Asian Koel,train
Asian Koel_train_XC161431 2.wav,Asian Koel,train
Asian Koel_train_XC161431 4.wav,Asian Koel,train
Asian Koel_train_XC161431 5.wav,Asian Koel,train
Asian Koel_train_XC161431 6.wav,Asian Koel,train
Asian Koel_train_XC161968 0.wav,Asian Koel,train
Asian Koel_train_XC161968 1.wav,Asian Koel,train
Asian Koel_train_XC162827 0.wav,Asian Koel,train
Asian Koel_train_XC162827 1.wav,Asian Koel,train
Asian Koel_train_XC162828 1.wav,Asian Koel,train
Asian Koel_train_XC162828 2.wav,Asian Koel,train
Asian Koel_train_XC164679 1.wav,Asian Koel,train
Asian Koel_train_XC164679 2.wav,Asian Koel,train
Asian Koel_train_XC164679 4.wav,Asian Koel,train
Asian Koel_train_XC166251 0.wav,Asian Koel,train
Asian Koel_train_XC166251 1.wav,Asian Koel,train
Asian Koel_train_XC166251 2.wav,Asian Koel,train
Asian Koel_train_XC166251 3.wav,Asian Koel,train
Asian Koel_train_XC166251 4.wav,Asian Koel,train
Asian Koel_train_XC175484 original.wav,Asian Koel,train
Asian Koel_train_XC175830 original.wav,Asian Koel,train
Asian Koel_train_XC179229 1.wav,Asian Koel,train
Asian Koel_train_XC179229 10.wav,Asian Koel,train
Asian Koel_train_XC179229 11.wav,Asian Koel,train
Asian Koel_train_XC179229 2.wav,Asian Koel,train
Asian Koel_train_XC179229 3.wav,Asian Koel,train
Asian Koel_train_XC179229 6.wav,Asian Koel,train
Asian Koel_train_XC179229 7.wav,Asian Koel,train
Asian Koel_train_XC179229 9.wav,Asian Koel,train
Asian Koel_train_XC181991 0.wav,Asian Koel,train
Asian Koel_train_XC181992 0.wav,Asian Koel,train
Asian Koel_train_XC181992 1.wav,Asian Koel,train
Asian Koel_train_XC182810 1.wav,Asian Koel,train
Asian Koel_train_XC189420 0.wav,Asian Koel,train
Asian Koel_train_XC189420 2.wav,Asian Koel,train
Asian Koel_train_XC190308 2.wav,Asian Koel,train
Asian Koel_train_XC190308 3.wav,Asian Koel,train
Asian Koel_train_XC190874 original.wav,Asian Koel,train
Asian Koel_train_XC194196 0.wav,Asian Koel,train
Asian Koel_train_XC194196 2.wav,Asian Koel,train
Asian Koel_train_XC194196 3.wav,Asian Koel,train
Asian Koel_train_XC194905 original.wav,Asian Koel,train
Asian Koel_train_XC196583 1.wav,Asian Koel,train
Asian Koel_train_XC196584 2.wav,Asian Koel,train
Asian Koel_train_XC196584 5.wav,Asian Koel,train
Asian Koel_train_XC201538 0.wav,Asian Koel,train
Asian Koel_train_XC201538 1.wav,Asian Koel,train
Asian Koel_train_XC201538 2.wav,Asian Koel,train
Asian Koel_train_XC201538 3.wav,Asian Koel,train
Asian Koel_train_XC203530 0.wav,Asian Koel,train
Asian Koel_train_XC208590 0.wav,Asian Koel,train
Asian Koel_train_XC209025 0.wav,Asian Koel,train
Asian Koel_train_XC209025 1.wav,Asian Koel,train
Asian Koel_train_XC236515 0.wav,Asian Koel,train
Asian Koel_train_XC240257 1.wav,Asian Koel,train
Asian Koel_train_XC252829 original.wav,Asian Koel,train
Asian Koel_train_XC290513 1.wav,Asian Koel,train
Asian Koel_train_XC290514 0.wav,Asian Koel,train
Asian Koel_train_XC290514 1.wav,Asian Koel,train
Asian Koel_train_XC297676 1.wav,Asian Koel,train
Asian Koel_train_XC301717 0.wav,Asian Koel,train
Asian Koel_train_XC301717 1.wav,Asian Koel,train
Asian Koel_train_XC305691 original.wav,Asian Koel,train
Asian Koel_train_XC307546 original.wav,Asian Koel,train
Asian Koel_train_XC309568 0.wav,Asian Koel,train
Asian Koel_train_XC309568 1.wav,Asian Koel,train
Asian Koel_train_XC309568 2.wav,Asian Koel,train
Asian Koel_train_XC311271 1.wav,Asian Koel,train
Asian Koel_train_XC311271 2.wav,Asian Koel,train
Asian Koel_train_XC311271 3.wav,Asian Koel,train
Asian Koel_train_XC314337 1.wav,Asian Koel,train
Asian Koel_train_XC323137 0.wav,Asian Koel,train
Asian Koel_train_XC323137 1.wav,Asian Koel,train
Asian Koel_train_XC323137 2.wav,Asian Koel,train
Asian Koel_train_XC327430 3.wav,Asian Koel,train
Asian Koel_train_XC332698 0.wav,Asian Koel,train
Asian Koel_train_XC353944 original.wav,Asian Koel,train
Asian Koel_train_XC359129 1.wav,Asian Koel,train
Asian Koel_train_XC359129 2.wav,Asian Koel,train
Asian Koel_train_XC359129 3.wav,Asian Koel,train
Asian Koel_train_XC359319 10.wav,Asian Koel,train
Asian Koel_train_XC359319 11.wav,Asian Koel,train
Asian Koel_train_XC359319 2.wav,Asian Koel,train
Asian Koel_train_XC359319 5.wav,Asian Koel,train
Asian Koel_train_XC359319 6.wav,Asian Koel,train
Asian Koel_train_XC365421 1.wav,Asian Koel,train
Asian Koel_train_XC369204 0.wav,Asian Koel,train
Asian Koel_train_XC369204 1.wav,Asian Koel,train
Asian Koel_train_XC369204 2.wav,Asian Koel,train
Asian Koel_train_XC369204 3.wav,Asian Koel,train
Asian Koel_train_XC369205 1.wav,Asian Koel,train
Asian Koel_train_XC369205 6.wav,Asian Koel,train
Asian Koel_train_XC400193 0.wav,Asian Koel,train
Asian Koel_train_XC400194 0.wav,Asian Koel,train
Asian Koel_train_XC400194 2.wav,Asian Koel,train
Asian Koel_train_XC412822 2.wav,Asian Koel,train
Asian Koel_train_XC412822 3.wav,Asian Koel,train
Asian Koel_train_XC414018 original.wav,Asian Koel,train
