filename,species,split
Asian Koel_test_XC161198 1.wav,Asian Koel,test
Asian Koel_test_XC162828 0.wav,Asian Koel,test
Asian Koel_test_XC179229 8.wav,Asian Koel,test
Asian Koel_test_XC182810 0.wav,Asian Koel,test
Asian Koel_test_XC196583 0.wav,Asian Koel,test
Asian Koel_test_XC196584 1.wav,Asian Koel,test
Asian Koel_test_XC236515 1.wav,Asian Koel,test
Asian Koel_test_XC311271 0.wav,Asian Koel,test
Asian Koel_test_XC314339 1.wav,Asian Koel,test
Asian Koel_test_XC327430 1.wav,Asian Koel,test
Asian Koel_test_XC327430 2.wav,Asian Koel,test
Asian Koel_test_XC332698 1.wav,Asian Koel,test
Asian Koel_test_XC359129 0.wav,Asian Koel,test
Asian Koel_test_XC365421 0.wav,Asian Koel,test
Asian Koel_test_XC369205 0.wav,Asian Koel,test
Asian Koel_test_XC369205 2.wav,Asian Koel,test
Asian Koel_test_XC412822 1.wav,Asian Koel,test
Asian Koel_test_XC416848 original.wav,Asian Koel,test
Asian Koel_test_XC426536 7.wav,Asian Koel,test
Asian Koel_test_XC446387 10.wav,Asian Koel,test
Asian Koel_test_XC454504 0.wav,Asian Koel,test
Asian Koel_test_XC461162 0.wav,Asian Koel,test
Asian Koel_test_XC461634 original.wav,Asian Koel,test
Asian Koel_test_XC531612 1.wav,Asian Koel,test
Asian Koel_test_XC576721 8.wav,Asian Koel,test
Asian Koel_test_XC578005 original.wav,Asian Koel,test
Asian Koel_test_XC591315 3.wav,Asian Koel,test
Asian Koel_test_XC591315 5.wav,Asian Koel,test
Asian Koel_test_XC594949 1.wav,Asian Koel,test
Asian Koel_test_XC594949 23.wav,Asian Koel,test
Asian Koel_test_XC594949 4.wav,Asian Koel,test
Asian Koel_test_XC594949 42.wav,Asian Koel,test
Asian Koel_test_XC594949 43.wav,Asian Koel,test
Asian Koel_test_XC594951 0.wav,Asian Koel,test
Asian Koel_test_XC635320 0.wav,Asian Koel,test
Asian Koel_test_XC717549 3.wav,Asian Koel,test
Asian Koel_test_XC722516 0.wav,Asian Koel,test
Asian Koel_train_XC161198 0.wav,Asian Koel,train
Asian Koel_train_XC161199 0.wav,Asian Koel,train
Asian Koel_train_XC161199 1.wav,Asian Koel,train
Asian Koel_train_XC161199 2.wav,Asian Koel,train
Asian Koel_train_XC161431 2.wav,Asian Koel,train
Asian Koel_train_XC161431 4.wav,Asian Koel,train
Asian Koel_train_XC161431 5.wav,Asian Koel,train
Asian Koel_train_XC161431 6.wav,Asian Koel,train
Asian Koel_train_XC161968 0.wav,Asian Koel,train
Asian Koel_train_XC161968 1.wav,Asian Koel,train
Asian Koel_train_XC162827 0.wav,Asian Koel,train
Asian Koel_train_XC162827 1.wav,Asian Koel,train
Asian Koel_train_XC162828 1.wav,Asian Koel,train
Asian Koel_train_XC162828 2.wav,Asian Koel,train
Asian Koel_train_XC164679 1.wav,Asian Koel,train
Asian Koel_train_XC164679 2.wav,Asian Koel,train
Asian Koel_train_XC164679 4.wav,Asian Koel,train
Asian Koel_train_XC166251 0.wav,Asian Koel,train
Asian Koel_train_XC166251 1.wav,Asian Koel,train
Asian Koel_train_XC166251 2.wav,Asian Koel,train
Asian Koel_train_XC166251 3.wav,Asian Koel,train
Asian Koel_train_XC166251 4.wav,Asian Koel,train
Asian Koel_train_XC175484 original.wav,Asian Koel,train
Asian Koel_train_XC175830 original.wav,Asian Koel,train
Asian Koel_train_XC179229 1.wav,Asian Koel,train
Asian Koel_train_XC179229 10.wav,Asian Koel,train
Asian Koel_train_XC179229 11.wav,Asian Koel,train
Asian Koel_train_XC179229 2.wav,Asian Koel,train
Asian Koel_train_XC179229 3.wav,Asian Koel,train
Asian Koel_train_XC179229 6.wav,Asian Koel,train
Asian Koel_train_XC179229 7.wav,Asian Koel,train
Asian Koel_train_XC179229 9.wav,Asian Koel,train
Asian Koel_train_XC181991 0.wav,Asian Koel,train
Asian Koel_train_XC181992 0.wav,Asian Koel,train
Asian Koel_train_XC181992 1.wav,Asian Koel,train
Asian Koel_train_XC182810 1.wav,Asian Koel,train
